packet_count,byte_count,avg_packet_size,tcp_count,udp_count,icmp_count,arp_count,unique_dst_ports,packets_per_second,in_out_ratio,fluctuation,syn_only_count,http_count,label
2,120,60.0,0,0,2,0,0,3.672063175220185,1.0,0.0,0,0,0
5,210,42.0,0,0,5,0,0,9.975996552180147,0.8,0.19913513829200905,0,0,0
5,210,42.0,0,0,5,0,0,9.962111567562637,0.8,0.20202866353108173,0,0,0
2,120,60.0,0,0,2,0,0,3.9667888268367766,1.0,0.0,0,0,0
5,210,42.0,0,0,5,0,0,9.997716471581512,0.8,0.19888327479791199,0,0,0
7,294,42.0,0,0,7,0,0,13.97787829491576,0.8571428571428571,0.17009094605657094,0,0,0
2,120,60.0,0,0,2,0,0,3.9600866548426583,1.0,0.0,0,0,0
7,294,42.0,0,0,7,0,0,7.4520909547086935,0.7142857142857143,0.21770108864551702,0,0,0
2,120,60.0,0,0,2,0,0,3.8690699776765123,1.0,0.0,0,0,0
6,252,42.0,0,0,6,0,0,11.187251973652916,0.8333333333333334,0.19508069114694443,0,0,0
2,650,325.0,0,1,0,1,1,0.032405536854981716,0.5,0.0,0,0,0
8,618,77.25,0,1,6,1,1,15.995591425016565,0.625,0.14849147100766436,0,0,0
2,120,60.0,0,0,2,0,0,3.9642974444232832,1.0,0.0,0,0,0
4,168,42.0,0,0,4,0,0,7.980687147486927,0.75,0.23727306919981175,0,0,0
7,294,42.0,0,0,7,0,0,13.965345545664007,0.8571428571428571,0.17468881261135727,0,0,0
2,120,60.0,0,0,2,0,0,3.7467709445305486,1.0,0.0,0,0,0
7,294,42.0,0,0,7,0,0,7.12271960551562,0.7142857142857143,0.2432733202203027,0,0,0
2,120,60.0,0,0,2,0,0,3.9952354031832877,1.0,0.0,0,0,0
6,252,42.0,0,0,6,0,0,11.964775788441735,0.8333333333333334,0.20946479405057125,0,0,0
6,252,42.0,0,0,6,0,0,11.974163489442002,0.8333333333333334,0.2131368684687637,0,0,0
2,120,60.0,0,0,2,0,0,3.9202198678306837,1.0,0.0,0,0,0
5,210,42.0,0,0,5,0,0,9.970091892197697,0.8,0.24361862243828114,0,0,0
4,168,42.0,0,0,4,0,0,7.977833349738632,0.75,0.28639580846643836,0,0,0
